Toll Date,Detection Group,CRZ Entries
2025-01-23,Hugh L. Carey Tunnel,22435
2025-01-23,Lincoln Tunnel,46111
2025-01-23,Manhattan Bridge,29270
2025-01-23,Queens Midtown Tunnel,43095
2025-01-23,Queensboro Bridge,38805
2025-01-23,West 60th St,42306
2025-01-23,West Side Highway at 60th St,46567
2025-01-23,Williamsburg Bridge,38605
2025-01-24,Brooklyn Bridge,31232
2025-01-24,East 60th St,81391
2025-01-24,FDR Drive at 60th St,54114
2025-01-24,Holland Tunnel,39255
2025-01-24,Hugh L. Carey Tunnel,21344
2025-01-24,Lincoln Tunnel,44506
2025-01-24,Manhattan Bridge,30141
2025-01-24,Queens Midtown Tunnel,43973
2025-01-24,Queensboro Bridge,37145
2025-01-24,West 60th St,41435
2025-01-24,West Side Highway at 60th St,44222
2025-01-24,Williamsburg Bridge,41275
2025-01-25,Brooklyn Bridge,31927
2025-01-25,East 60th St,76514
2025-01-25,FDR Drive at 60th St,52296
2025-01-25,Holland Tunnel,41344
2025-01-25,Hugh L. Carey Tunnel,18505
2025-01-25,Lincoln Tunnel,44638
2025-01-25,Manhattan Bridge,30883
2025-01-25,Queens Midtown Tunnel,38419
2025-01-25,Queensboro Bridge,31876
2025-01-25,West 60th St,40719
2025-01-25,West Side Highway at 60th St,42624
2025-01-25,Williamsburg Bridge,42672
2025-01-26,Brooklyn Bridge,29569
2025-01-26,East 60th St,66388
2025-01-26,FDR Drive at 60th St,45464
2025-01-26,Holland Tunnel,38495
2025-01-26,Hugh L. Carey Tunnel,13777
2025-01-26,Lincoln Tunnel,38996
2025-01-26,Manhattan Bridge,26395
2025-01-26,Queens Midtown Tunnel,35123
2025-01-26,Queensboro Bridge,29406
2025-01-26,West 60th St,32812
2025-01-26,West Side Highway at 60th St,34488
2025-01-26,Williamsburg Bridge,41193
2025-01-27,Brooklyn Bridge,28635
2025-01-27,East 60th St,75529
2025-01-27,FDR Drive at 60th St,49908
2025-01-27,Holland Tunnel,36941
2025-01-27,Hugh L. Carey Tunnel,19971
2025-01-27,Lincoln Tunnel,42075
2025-01-27,Manhattan Bridge,26454
2025-01-27,Queens Midtown Tunnel,41394
2025-01-27,Queensboro Bridge,33494
2025-01-27,West 60th St,37517
2025-01-27,West Side Highway at 60th St,40136
2025-01-27,Williamsburg Bridge,34282
2025-01-28,Brooklyn Bridge,30533
2025-01-28,East 60th St,79530
