Toll Date,Detection Group,Vehicle Class,CRZ Entries
2025-01-09,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",31778
2025-01-09,FDR Drive at 60th St,2 - Single-Unit Trucks,630
2025-01-09,FDR Drive at 60th St,3 - Multi-Unit Trucks,3
2025-01-09,FDR Drive at 60th St,4 - Buses,620
2025-01-09,FDR Drive at 60th St,5 - Motorcycles,88
2025-01-09,FDR Drive at 60th St,TLC Taxi/FHV,17704
2025-01-09,Holland Tunnel,"1 - Cars, Pickups and Vans",25992
2025-01-09,Holland Tunnel,2 - Single-Unit Trucks,1635
2025-01-09,Holland Tunnel,3 - Multi-Unit Trucks,205
2025-01-09,Holland Tunnel,4 - Buses,134
2025-01-09,Holland Tunnel,5 - Motorcycles,11
2025-01-09,Holland Tunnel,TLC Taxi/FHV,8304
2025-01-09,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",14631
2025-01-09,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,798
2025-01-09,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,36
2025-01-09,Hugh L. Carey Tunnel,4 - Buses,1527
2025-01-09,Hugh L. Carey Tunnel,5 - Motorcycles,17
2025-01-09,Hugh L. Carey Tunnel,TLC Taxi/FHV,4534
2025-01-09,Lincoln Tunnel,"1 - Cars, Pickups and Vans",30877
2025-01-09,Lincoln Tunnel,2 - Single-Unit Trucks,3722
2025-01-09,Lincoln Tunnel,3 - Multi-Unit Trucks,704
2025-01-09,Lincoln Tunnel,4 - Buses,1765
2025-01-09,Lincoln Tunnel,5 - Motorcycles,126
2025-01-09,Lincoln Tunnel,TLC Taxi/FHV,6462
2025-01-09,Manhattan Bridge,"1 - Cars, Pickups and Vans",15189
2025-01-09,Manhattan Bridge,2 - Single-Unit Trucks,2153
2025-01-09,Manhattan Bridge,3 - Multi-Unit Trucks,298
2025-01-09,Manhattan Bridge,4 - Buses,501
2025-01-09,Manhattan Bridge,5 - Motorcycles,72
2025-01-09,Manhattan Bridge,TLC Taxi/FHV,8734
2025-01-09,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",21712
2025-01-09,Queens Midtown Tunnel,2 - Single-Unit Trucks,2483
2025-01-09,Queens Midtown Tunnel,3 - Multi-Unit Trucks,121
2025-01-09,Queens Midtown Tunnel,4 - Buses,1075
2025-01-09,Queens Midtown Tunnel,5 - Motorcycles,25
